continent,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,population_density,median_age,gdp_per_capita,population,month,year
Asia,2021-12-31,83611499.09677419,2495518.0,1240556.2258064516,40871.0,5828796998.431018,3040249209.8675103,2496721160.2353277,168158217.5805963,691100880.0,47.292910238429165,987.3457500000001,30.67,24541.739978723406,4721455390.0,12,2021
Asia,2022-01-31,91041633.25806451,15424879.0,1276061.4838709678,36741.0,6303704553.9275675,3160916372.313315,2767220258.024039,470493596.59839976,489310811.0,47.80384291725105,987.3457500000001,30.67,24541.739978723406,4721455390.0,1,2022
Asia,2022-02-28,108974479.17857142,16475103.0,1325685.9642857143,56635.0,7123704168.132069,3349920939.8208866,2955985612.4697957,770164337.9088863,357577175.0,46.33458850931677,987.3457500000001,30.67,24541.739978723403,4721455390.0,2,2022
Asia,2022-03-31,128459976.1935484,22407306.0,1381365.7741935484,54360.0,7492176379.342877,3415771376.398211,3067251884.3864565,995347998.3790076,318444335.0,40.740126227208975,987.3457500000001,30.67,24541.739978723406,4721455390.0,3,2022
Asia,2022-04-30,144433397.53333333,8465065.0,1418949.3333333333,22183.0,7776323291.838458,3393704528.8513594,3161345490.027938,1136077512.4400895,164210764.0,34.97196376811594,987.34575,30.67,24541.739978723406,4721455390.0,4,2022
Asia,2022-05-31,149796795.0,4433680.0,1432934.3225806453,7823.0,7937904261.760467,3421322555.1108975,3214351349.9505744,1211703946.404578,107733501.0,29.701676016830294,987.3457500000001,30.67,24541.739978723406,4721455390.0,5,2022
Asia,2022-06-30,153909897.03333333,3613071.0,1440305.2,7404.0,8084288808.533628,3514688890.6221776,3260850462.8349714,1231556881.7765298,102439367.0,26.504565217391306,987.34575,30.67,24541.739978723406,4721455390.0,6,2022
Asia,2022-07-31,159143033.87096775,8906498.0,1447975.0967741935,9182.0,8086252538.370291,3480115817.2069125,3253686440.2846055,1306320676.0145304,116964639.0,26.150343618513325,987.3457500000001,30.67,24541.739978723406,4721455390.0,7,2022
Asia,2022-08-31,171750355.77419356,13151349.0,1461941.2580645161,18408.0,8293840122.256419,3512871314.528689,3296076901.9276714,1434152682.4078274,111336861.0,25.123211781206173,987.3457500000001,30.67,24541.739978723406,4721455390.0,8,2022
Asia,2022-09-30,181244801.46666667,6057939.0,1479099.9666666666,12977.0,8366333885.773779,3278265755.92651,3294930776.1751723,1519973993.4705815,79331142.0,23.383485507246377,987.34575,30.67,24541.739978723406,4721455390.0,9,2022
Asia,2022-10-31,185749329.0967742,3882157.0,1488544.4838709678,7845.0,8360632895.444748,1949385507.7490625,3119454480.771894,1603553464.7496173,23324264.0,20.879193548387097,987.3457500000001,30.67,24541.739978723406,4721455390.0,10,2022
Asia,2022-11-30,190243787.03333333,5314224.0,1498077.6333333333,10428.0,8263835537.095778,3204668667.234729,3072931093.6100574,1603339194.4053776,30758531.0,19.44494927536232,987.34575,30.67,24541.739978723406,4721455390.0,11,2022
Asia,2022-12-31,218386962.93548387,81822482.0,1511977.7096774194,27318.0,8286080298.393436,3418096128.0908914,3196263070.117714,1609204712.8990784,61722885.0,18.39814165497896,987.3457500000001,30.67,24541.739978723406,4721455390.0,12,2022
Asia,2023-01-31,288831336.32258064,18183809.0,1584314.8387096773,81562.0,8190042075.180568,3415729880.5234885,3198076560.507757,1604489338.0185866,29947565.0,,987.3457500000001,30.67,24541.739978723406,4721455390.0,1,2023
Asia,2023-02-28,293959499.89285713,1658279.0,1619892.1785714286,11944.0,7830119089.096483,3213755912.2566915,3036565241.956738,1549234552.2619047,4876907.0,,987.3457500000001,30.67,24541.739978723403,4721455390.0,2,2023
Asia,2023-03-31,294752599.0,237180.0,1624178.0,1115.0,3160010937.590476,1414404204.3285713,1319553696.2761905,528014850.8428571,319510.0,,987.3457500000001,30.67,24541.739978723403,4721455390.0,3,2023
Europe,2020-01-31,16.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9237674418604649,636.4584468085106,42.07,33935.36919512195,745629155.0,1,2020
Europe,2020-02-29,214.6074712643678,1219.0,13.485714285714288,25.0,0.0,0.0,0.0,0.0,0.0,5.9937369687249396,636.4584468085106,42.07,33935.36919512195,745629155.0,2,2020
Europe,2020-03-31,126115.26720391803,442702.0,7667.4967175035235,32037.0,0.0,0.0,0.0,0.0,0.0,47.69141785446361,636.4584468085106,42.07,33935.36919512195,745629155.0,3,2020
Europe,2020-04-30,919441.7666666667,855474.0,92905.54780308259,106015.0,0.0,0.0,0.0,0.0,0.0,78.0769534883721,636.4584468085106,42.07,33935.36919512195,745629155.0,4,2020
Europe,2020-05-31,1641082.064516129,612531.0,160669.7741935484,37223.0,0.0,0.0,0.0,0.0,0.0,68.53798199549888,636.4584468085106,42.07,33935.36919512195,745629155.0,5,2020
Europe,2020-06-30,2148412.6999999997,447540.0,183602.86666666667,14405.0,0.0,0.0,0.0,0.0,0.0,52.47533333333333,636.4584468085106,42.07,33935.36919512195,745629155.0,6,2020
Europe,2020-07-31,2580546.4838709678,455277.0,195142.4193548387,10016.0,0.0,0.0,0.0,0.0,0.0,46.952235558889726,636.4584468085106,42.07,33935.36919512195,745629155.0,7,2020
Europe,2020-08-31,3181078.9677419355,797133.0,204670.64516129033,9880.0,0.0,0.0,0.0,0.0,0.0,48.04535633908477,636.4584468085106,42.07,33935.36919512195,745629155.0,8,2020
Europe,2020-09-30,4292638.933333334,1456752.0,216613.36666666667,15209.0,0.0,0.0,0.0,0.0,0.0,45.84831007751938,636.4584468085106,42.07,33935.36919512195,745629155.0,9,2020
Europe,2020-10-31,7060320.838709678,4959573.0,242631.64516129033,46255.0,0.0,0.0,0.0,0.0,0.0,48.93208552138035,636.4584468085106,42.07,33935.36919512195,745629155.0,10,2020
Europe,2020-11-30,13944869.766666668,7165161.0,335857.77777777775,135512.0,0.0,0.0,0.0,0.0,0.0,59.26288372093023,636.4584468085106,42.07,33935.36919512195,745629155.0,11,2020
Europe,2020-12-31,20444662.4516129,6429531.0,490302.1935483871,160449.0,242886.08737373736,241716.63737373738,92.41666666666667,0.0,345836.0,62.295941485371344,636.4584468085106,42.07,33935.36919512195,745629155.0,12,2020
Europe,2021-01-31,27199767.419354837,6593070.0,647854.8387096775,160502.0,13680422.729268223,12647972.236154169,1297528.39384535,474.67026610764094,18566596.0,64.33993248312078,636.4584468085106,42.07,33935.36919512195,745629155.0,1,2021
Europe,2021-02-28,32180079.67857143,3774845.0,785184.3928571428,102052.0,41832356.38013855,32853669.64254499,9001227.194614323,20992.309523809523,28642209.0,63.38002491694352,636.4584468085106,42.07,33935.36919512195,745629155.0,2,2021
Europe,2021-03-31,36601270.70967742,5450368.0,876388.8387096775,94644.0,95018849.3111848,72277899.87165095,22523699.082086686,35026.459677419356,53364266.0,64.00507126781694,636.4584468085106,42.07,33935.36919512195,745629155.0,3,2021
Europe,2021-04-30,42124167.63333333,4844462.0,977948.0333333333,101077.0,176737741.965353,127867864.56098896,48393568.96817987,42025.95925925926,84385936.0,62.70827131782946,636.4584468085106,42.07,33935.36919512195,745629155.0,4,2021
Europe,2021-05-31,45692361.870967746,2397480.0,1057533.7096774194,55119.0,298827515.1817404,204213087.22803152,95758600.95712118,74569.52211981567,112213980.0,55.50836459114778,636.4584468085106,42.07,33935.36919512195,745629155.0,5,2021
